Product Id,Sector,Cog,Distance,Export,Pci
657,Vegetables_foodstuff_and_wood,-0.0944,0.8226,19182165493,-1.0377
656,Vegetables_foodstuff_and_wood,0.0149,0.8194,20243098772,-0.2986
655,Vegetables_foodstuff_and_wood,-0.1858,0.778,1080625408,-1.2948
653,Vegetables_foodstuff_and_wood,-0.1947,0.8075,1293640396,-1.2829
652,Vegetables_foodstuff_and_wood,0.0808,0.8551,4097977276,0.3378
651,Vegetables_foodstuff_and_wood,-0.0236,0.8138,7651125488,-0.2524
650,Vegetables_foodstuff_and_wood,0.152,0.8503,2463875171,-0.1171
1789,Transport_vehicles,-0.0031,0.8343,1455479259,-0.7496
1788,Transport_vehicles,0.1236,0.8616,1570934444,0.2407
1787,Transport_vehicles,0.0273,0.8448,4910421155,-0.1956
1786,Transport_vehicles,0.045,0.8674,27585821420,-0.2566
1785,Transport_vehicles,-0.0121,0.8567,5133266779,-0.112
1784,Transport_vehicles,0.2508,0.8623,14457844683,0.5863
1783,Transport_vehicles,-0.0732,0.8481,1524626644,-0.4385
1782,Transport_vehicles,0.2048,0.8868,75432555904,-0.0012
1781,Transport_vehicles,0.2475,0.8821,1743253008,0.5257
1780,Transport_vehicles,0.2626,0.8765,302583640,0.6893
1778,Transport_vehicles,0.2783,0.887,1.83585E+11,0.9257
1777,Transport_vehicles,0.2427,0.8692,68199945,0.6492
1776,Transport_vehicles,0.2387,0.8514,23071585657,0.773
1775,Transport_vehicles,0.1908,0.8778,2146104151,0.5084
1774,Transport_vehicles,0.1486,0.8834,18218386521,0.3051
1773,Transport_vehicles,0.3013,0.8946,1341770649,0.9732
1772,Transport_vehicles,0.0909,0.8695,8609619702,-0.0417
1771,Transport_vehicles,0.1905,0.8924,21373496890,0.2388
1770,Transport_vehicles,0.1586,0.8699,3574928850,0.5603
1769,Transport_vehicles,0.3125,0.8605,1359119623,0.6145
1768,Transport_vehicles,0.3511,0.8723,3.57003E+11,1.0428
1767,Transport_vehicles,0.3151,0.8752,8295970414,0.9866
1766,Transport_vehicles,0.2665,0.8843,3617797298,0.899
1764,Transport_vehicles,0.2073,0.8575,1.18761E+11,0.2607
1763,Transport_vehicles,0.3111,0.8767,6.89207E+11,0.8065
1762,Transport_vehicles,0.1563,0.854,15936284692,0.352
1761,Transport_vehicles,0.2396,0.8648,44460145204,0.6735
1759,Transport_vehicles,0.2312,0.8491,856434033,0.655
1758,Transport_vehicles,0.4281,0.8734,10779687532,1.2161
1757,Transport_vehicles,0.1116,0.8695,4742709920,0.397
1756,Transport_vehicles,0.2006,0.8784,1725423311,0.4328
1755,Transport_vehicles,0.4261,0.8982,860949507,1.4481
1754,Transport_vehicles,0.5248,0.8996,5115329559,1.5459
1753,Transport_vehicles,0.0126,0.8517,1280898446,-0.3811
1752,Transport_vehicles,0.3515,0.8934,1011628328,1.0761
1890,Textiles_and_furniture,0.0167,0.8328,2845024299,-1.2955
1889,Textiles_and_furniture,0.0464,0.8354,1423169966,-0.5978
1888,Textiles_and_furniture,0.2877,0.8669,165628710,-0.0134
1887,Textiles_and_furniture,0.2275,0.8905,3993703968,0.0348
1885,Textiles_and_furniture,0.2843,0.8895,16210683235,0.6659
1857,Textiles_and_furniture,0.2688,0.8865,48978233232,1.076
1855,Textiles_and_furniture,0.0149,0.8324,78856393004,0.101
1854,Textiles_and_furniture,0.2238,0.8647,3466729233,0.5221
1853,Textiles_and_furniture,0.0247,0.8556,73902138360,0.091
1394,Textiles_and_furniture,-0.2332,0.807,3267942932,-2.6364
1392,Textiles_and_furniture,0.0548,0.9021,2383754209,-0.0372
1391,Textiles_and_furniture,-0.0282,0.8777,103858197,-0.9842
1390,Textiles_and_furniture,0.0836,0.8757,309227989,0.0679
1389,Textiles_and_furniture,0.1618,0.8859,190781764,0.157
1388,Textiles_and_furniture,0.0449,0.8955,2923954137,-0.4541
1387,Textiles_and_furniture,0.0301,0.8776,297026812,-0.4002
1386,Textiles_and_furniture,0.2428,0.8833,3240939518,0.5855
