distance,export_rca,export_value,import_value,location_id,id,year
0.6802,20.2473,1334424192,282587232,239,729,2016
0.7239,20.2217,315302,19399,239,770,1997
0.6331,20.2011,57536204,106357,239,1332,2002
0.599,20.1852,13477685,40970,239,1589,2005
0.6875,20.1835,2036558464,11282342,239,1378,2011
0.638,20.1815,6213134,12333,239,731,2001
0.5854,20.1171,26136884,1636382,239,731,2010
0.718,20.0084,29883300,15334,239,712,1996
0.7647,20.0074,4338413,0,239,1159,1995
0.6011,19.9736,1096680704,278993120,239,1120,2006
0.66,19.9483,4518954,565,239,731,1998
0.6929,19.9122,48905152,166713,239,1184,2000
0.7542,19.8577,3796541,20304,239,682,1998
0.6942,19.72,5637332,0,239,731,2000
0.7076,19.7132,3032252,45082,239,1262,1997
0.6976,19.6733,1532674048,42189060,239,669,2009
0.6671,19.5965,4666537,36100,239,1589,2001
0.7622,19.5445,289023,33460,239,1226,2005
0.5919,19.401,254733888,31656014,239,1120,2002
0.7096,19.4,326337152,71636144,239,1319,2011
0.662,19.2968,297160864,645280,239,1348,2002
0.6504,19.2601,71992736,327330,239,1332,2003
0.7351,19.2275,11829411,444123,239,1162,2012
0.6931,19.1688,8634362,77849,239,1360,2002
0.7426,19.1256,14692797,78191,239,1176,1997
0.6725,19.0728,1473203712,2610238,239,1376,2007
0.7422,19.0365,97990264,129323,239,1422,2000
0.7947,18.9656,5389506,320318,239,1229,1999
0.7483,18.9363,119727592,968525,239,672,1996
0.6614,18.9359,149043136,501794,239,1184,2008
0.6742,18.9172,1866845568,4362133,239,1376,2008
0.6806,18.8981,1653089664,59651616,239,669,2010
0.7129,18.8891,794744384,1912695,239,1158,2011
0.7295,18.8831,5544948,36449,239,682,1999
0.6684,18.8371,417025376,1992539,239,1348,2004
0.6621,18.8245,1265324672,76752160,239,671,2008
0.681,18.7943,4710709,4966,239,731,1999
0.6519,18.6948,16520184,760639,239,1363,1999
0.7501,18.6763,45434016,287682,239,1423,2001
0.74,18.6628,220516528,1600316,239,1772,2004
0.6726,18.64,2171253760,3038497,239,1377,2004
0.7143,18.6387,227357696,1006490,239,1349,2000
0.6866,18.6298,11217222,155314,239,1360,2004
0.7057,18.6092,12444362,194058,239,734,2001
0.6528,18.5642,11934095,160797,239,731,2006
0.6859,18.5627,13646672,396386,239,731,2007
0.6883,18.5176,1889803648,14467427,239,726,2009
0.6785,18.5093,2120764928,121506112,239,669,2011
0.7408,18.5044,152995088,27735936,239,1429,2009
0.6424,18.4931,29971608,38887,239,711,2002
0.6806,18.2351,241666064,207045,239,1349,2001
0.691,18.2141,23459640,20304,239,711,1999
0.6221,18.1844,8026302,19560,239,731,2004
0.5579,18.1718,412251744,175044608,239,711,2013
0.7186,18.148,377408128,43400208,239,1319,2013
0.6629,18.1119,40273432,6271516,239,1229,2012
0.7492,18.0686,13060178,585887,239,1575,2004
0.7506,18.0528,492755744,26023576,239,751,2012
0.6466,17.9976,358956672,3152228,239,726,2002
0.6975,17.9965,2510888448,12589405,239,1378,2012
0.7062,17.9645,8328120,1139295,239,1183,1996
0.6975,17.9357,9153777,1370754,239,769,2003
0.7058,17.9115,132954376,6150102,239,922,2014
0.7127,17.9026,966429056,1200052,239,1376,2005
0.7143,17.8858,903135040,995456,239,1158,2012
0.6785,17.8135,2099479,15197,239,771,2001
0.6765,17.7832,140933824,40907088,239,1251,2011
0.6449,17.6945,108739440,70000,239,1332,2005
0.7133,17.6885,45527040,1929071,239,754,2002
0.7075,17.6577,861452800,31342536,239,669,2006
0.6432,17.6413,15837601,625907,239,731,2008
0.6767,17.629,81428944,620763,239,1379,2002
0.7458,17.5894,9662988,351296,239,1161,2004
0.6982,17.5699,1139241216,2068746,239,1376,2006
0.6992,17.569,3281393408,100573320,239,1378,2013
0.6628,17.5605,8881772,169882,239,731,2005
0.6538,17.5414,3449023,2534,239,1262,2001
0.716,17.5369,1192126976,2110697,239,1158,2013
0.7357,17.5206,5642401,923620,239,1575,2002
0.7554,17.5108,55660084,416683,239,1422,1998
0.6238,17.4887,123660376,642422,239,1184,2009
0.6872,17.4686,7365396,1052735,239,769,2002
0.6194,17.4479,21876232,483481,239,1363,2001
0.8023,17.3999,18005444,538709,239,1162,2016
0.7745,17.3894,9501347,359618,239,1162,2011
0.7238,17.3535,420023616,39973844,239,1319,2014
0.7025,17.3137,85374312,200306,239,1422,2001
0.5664,17.3114,32364540,1497925,239,731,2011
0.6275,17.3016,72696144,4005666,239,731,2014
0.7384,17.2887,5374982,293361,239,769,1999
0.7752,17.2693,289003264,1371326,239,1457,2016
0.782,17.2554,7894349,558146,239,1575,2003
0.8202,17.2294,771294,62754,239,1162,1997
0.7489,17.2153,1120536,411060,239,891,2000
0.6846,17.1611,47495480,7493867,239,1229,2013
0.6976,17.1299,28698258,59707,239,1184,1999
0.6204,17.1055,134698336,932076,239,1184,2010
0.6937,17.0673,2417695744,4282712,239,1377,2005
0.6676,17.0382,14723693,3100847,239,1363,1997
0.5789,17.0266,54551940,295570,239,1589,2011
0.6851,17.0076,274193824,6382183,239,799,2004
0.6432,16.9703,5521385,3570598,239,1391,2005
0.7728,16.9567,693595520,200665392,239,1795,2015
0.7073,16.9367,121241424,1251407,239,1422,2007
0.6451,16.936,1457022976,119210064,239,671,2010
0.7143,16.9147,322729888,66856056,239,1319,2012
0.6355,16.8916,21005112,2682709,239,1363,2000
0.6979,16.8881,4394098176,254860768,239,1378,2014
0.6677,16.8411,3942519296,39490024,239,726,2012
0.6751,16.8381,14395547,25343,239,711,1995
0.68,16.8379,10909012,1673238,239,769,2004
0.7716,16.8374,2505800,44926,239,864,2001
0.5902,16.8291,27533988,15496,239,1262,2010
0.7089,16.8136,319960320,32161918,239,799,2005
0.7125,16.729,147114288,327569,239,1349,1999
0.6893,16.7122,2234229,186222,239,1262,1998
0.703,16.7011,47375716,7871222,239,1229,2014
0.6723,16.6745,2085665920,10317806,239,726,2010
0.7473,16.6729,12040238,32494,239,708,1998
0.7156,16.6661,201573888,59301888,239,1319,2010
0.6401,16.5916,153745280,121987,239,1332,2007
0.711,16.5745,226871072,68124040,239,1251,2014
0.7985,16.5553,7958411,1402099,239,1229,2000
0.6869,16.5542,1723008000,3317249,239,1377,2003
0.6875,16.4935,96720080,911885,239,1422,2004
0.7652,16.4809,146641360,10929470,239,751,2007
0.6722,16.4419,1213853056,90589088,239,671,2009
0.7989,16.4409,61141136,2310852,239,751,2003
0.7844,16.4015,32013152,115870,239,1422,1995
0.7504,16.3867,7958104,7222390,239,897,2002
0.6647,16.381,1096635,847,239,1562,2013
0.5898,16.3744,169958928,7320465,239,1120,2001
0.7899,16.3666,15924675,435520,239,1162,2015
0.6962,16.3248,183164144,10964654,239,799,2002
0.7693,16.3222,6241724,17648,239,861,1998
0.7394,16.3209,84730392,3203030,239,1423,2009
0.6762,16.2927,24357220,24564,239,711,2000
0.6353,16.266,31739664,88846,239,1331,2002
0.6338,16.2626,5948191,18198,239,731,2002
0.7077,16.107,214858960,20465024,239,799,2003
0.7491,16.0414,2843821,679810,239,690,2000
0.6926,16.009,2610160128,3936094,239,1377,2006
0.6645,15.9899,4313915,82198,239,1589,2002
0.7695,15.9708,27572736,8250,239,754,1997
0.6989,15.9694,6886955,938981,239,1183,1998
0.7158,15.9427,499596544,819638,239,1158,2010
0.6915,15.9175,364370912,12028216,239,799,2006
0.7005,15.9087,3559717888,10948872,239,1377,2008
0.6777,15.8788,300982848,404989,239,1348,2003
0.7444,15.855,12326234,114981,239,1176,1998
0.6816,15.834,87771792,2188715,239,1422,2003
0.6971,15.7655,21998200,30925,239,1184,1998
0.6005,15.7348,46656376,2754769,239,731,2013
0.6876,15.602,255410448,4010655,239,672,2003
0.6634,15.569,79672344,596567,239,1331,2006
0.7812,15.5057,157187568,1810372,239,1376,1995
0.6614,15.4198,611534592,40960544,239,799,2010
0.6993,15.4144,2872489728,7456989,239,1377,2007
0.7806,15.3275,34930872,145399,239,1422,1996
0.6077,15.3046,309965088,49925608,239,1120,2003
0.6595,15.2659,3189528576,23307984,239,726,2011
0.6511,15.2505,104509392,1611752,239,1331,2007
0.6241,15.2141,174169104,17649492,239,1120,2000
0.6489,15.1959,7348929536,83089264,239,1378,2016
0.7194,15.1935,17894688,173905,239,1184,1996
0.7511,15.1814,1230546944,1544110,239,1158,2014
0.6511,15.1571,5731748864,261456688,239,1378,2015
0.7886,15.1516,45327504,230769,239,799,1995
0.6993,15.1422,341506208,21381400,239,672,2005
0.689,15.1354,2105493504,113454384,239,669,2012
0.713,15.1138,261882048,59005512,239,1251,2015
0.5888,15.0801,894543872,193742672,239,1120,2007
0.6259,15.0729,107702696,2567564,239,1120,1999
0.7484,15.045,10478851,135619,239,708,1997
0.7605,15.0168,37085684,166121,239,754,2000
0.7123,15.0117,128450928,625924,239,672,1999
0.6979,15.0015,120123384,1327589,239,1422,2008
0.7009,14.9583,20691236,20596,239,1184,1997
0.6417,14.9173,113131576,363670,239,1332,2006
0.7177,14.9019,105090624,794469,239,672,1998
0.7557,14.9,44563788,99392,239,1422,1997
0.7928,14.8755,22109204,181315,239,1423,1999
0.6675,14.8469,244409584,2319375,239,1349,2002
0.6071,14.8268,143973920,4437209,239,1184,2011
0.6771,14.8216,131830616,78763544,239,1251,2012
0.746,14.7638,330494560,37982504,239,751,2011
0.6805,14.7467,120496528,867106,239,1379,2004
0.7414,14.721,140826528,1126213,239,1772,2003
0.6953,14.6896,94566760,796101,239,1422,2006
0.6805,14.6864,459413152,25179744,239,799,2008
0.6263,14.6414,17886988,27907,239,1262,2009
0.705,14.5954,76278176,2153525,239,1343,2011
0.6089,14.5902,500087776,111091344,239,1120,2005
0.7227,14.583,112337552,587886,239,672,1997
